n,trial,method,config,runtime_sec,rel_error,speedup_vs_numpy,speedup_vs_naive
512,1,Naive GEMM,outer-product,0.6497242999612354,9.50895924052527e-16,0.006420261612446486,1.0229968311726008
512,1,Strassen,thresh=64,0.0342786000110209,1.4078063746077418e-15,0.12169108366075744,19.3901121919356
512,1,RMM-Uniform,s/n=5.0%,0.02052620000904426,2.9691806130156047,0.20322319668895275,32.381341880295174
512,1,RMM-Importance,s/n=5.0%,0.0056659000110812485,1.272679038599646,0.7362290145531069,117.30985345598059
512,1,LR-GEMM-RSVD,r=32,0.08723040000768378,3.0733402777280284e-12,0.047820484387866416,7.619658971386492
512,1,LR-GEMM-Det,r=32,0.3601608000462875,6.629134824850003e-15,0.011582048854785644,1.8454698565495133
512,2,NumPy GEMM,optimized,0.020346400036942214,0.0,0.1834968356364611,31.69933250262551
512,2,Naive GEMM,outer-product,0.6510978000005707,9.694827965518746e-16,0.005734161631891858,0.9905843638265984
512,2,Strassen,thresh=64,0.04160380002576858,4.06699872361034e-15,0.08973939931112097,15.502605521682709
512,2,RMM-Uniform,s/n=5.0%,0.014960800006520003,5.6311350040942045,0.24955216443942774,43.11048204115974
512,2,RMM-Importance,s/n=5.0%,0.007215999998152256,9.68879813516895,0.5173919102450775,89.38016909196436
512,2,LR-GEMM-RSVD,r=32,0.08305449999170378,7.350872215828935e-12,0.04495241105232596,7.7655912691893665
512,2,LR-GEMM-Det,r=32,0.3806243999861181,8.790567356270449e-15,0.009808882519115006,1.6944980406563164
1024,0,NumPy GEMM,optimized,0.03340319998096675,0.0,0.9850852627257612,150.27414148500904
1024,0,Naive GEMM,outer-product,5.21164370002225,1.4155547159392342e-15,0.006313747048554238,0.9631581683088615
1024,0,Strassen,thresh=64,0.27040039998246357,5.943759310225331e-15,0.12168990885836625,18.563719581470256
1024,0,RMM-Uniform,s/n=5.0%,0.017048500012606382,4.27628609592867,1.9300818256621064,294.432776858968
1024,0,RMM-Importance,s/n=5.0%,0.02727180003421381,4.722600927892551,1.2065576891826295,184.0596217959382
1024,0,LR-GEMM-RSVD,r=32,0.11582469998393208,0.026452184136492,0.2840931168714148,43.338227516999424
1024,0,LR-GEMM-Det,r=32,1.993378399987705,0.026399508443243205,0.01650715189315522,2.51815570993586
1024,1,NumPy GEMM,optimized,0.03484320000279695,0.0,1.4366275201080396,180.4310367450427
1024,1,Naive GEMM,outer-product,7.7250908999703825,8.713799411388151e-16,0.0064797554696526,0.8138149804869779
1024,1,Strassen,thresh=64,0.35617400001501665,4.370689938590166e-15,0.14054001698758523,17.650908544010708
1024,1,RMM-Uniform,s/n=5.0%,0.022058599977754056,4.036854781579213,2.269260064697145,285.0042480646875
1024,1,RMM-Importance,s/n=5.0%,0.03677910001715645,4.470738551764383,1.361009377317458,170.93389172347634
1024,1,LR-GEMM-RSVD,r=32,0.12095830001635477,0.020526978443268697,0.41383435453274764,51.9748929934489
1024,1,LR-GEMM-Det,r=32,1.967372399987653,0.02050890829172202,0.025443429018807404,3.195528563915496
1024,2,NumPy GEMM,optimized,0.03969090001191944,0.0,1.43434641208356,150.03922305196363
1024,2,Naive GEMM,outer-product,5.375875000027008,1.8261967725901465e-15,0.010589996981733758,1.1077623270614825
1024,2,Strassen,thresh=64,0.3630752000026405,9.647517279603095e-15,0.15680085013807044,16.40208915392254
1024,2,RMM-Uniform,s/n=5.0%,0.016415500023867935,14.016352597002395,3.4680941757295076,362.7785806928081
1024,2,RMM-Importance,s/n=5.0%,0.031745699991006404,5.552396080634728,1.7933294915718494,187.59050207457008
1024,2,LR-GEMM-RSVD,r=32,0.10180090001085773,0.0496029412867267,0.5592337594106925,58.498419949002475
1024,2,LR-GEMM-Det,r=32,2.0110080000013113,0.04982961170736536,0.028309434882619493,2.9612969217515213
