workload,n,trial,method,config,runtime_sec,rel_error,speedup_vs_numpy,speedup_vs_naive
NN-Like,256,2,RMM-Importance,s/n=10.0%,0.00137929996708408,1.999787021195655,3.4968463077592253,27.788589078422852
NN-Like,256,2,RMM-Uniform,s/n=20.0%,0.0016347000491805375,1.2357131121531617,2.950510706602241,23.446992627421523
NN-Like,256,2,RMM-Importance,s/n=20.0%,0.002403800026513636,1.0699132413442698,2.006489701302541,15.945086770288475
NN-Like,256,2,LR-GEMM-RSVD,r=8,0.006495499983429909,0.07958102230365888,0.7425448401962007,5.900823662375314
NN-Like,256,2,LR-GEMM-Det,r=8,0.22529829997802153,0.07958102230365888,0.021408062101049598,0.1701246747308823
NN-Like,256,2,LR-GEMM-RSVD,r=16,0.009544899978209287,4.26109520122187e-13,0.5053169764168931,4.015631393590832
NN-Like,256,2,LR-GEMM-Det,r=16,0.22765350004192442,1.9107103778758068e-15,0.021186583980927817,0.1683646418531807
NN-Like,256,2,LR-GEMM-RSVD,r=32,0.05240990000311285,2.1523569076509684e-13,0.09202841441986943,0.7313274781845633
NN-Like,256,2,LR-GEMM-Det,r=32,0.23241019999841228,2.2667263105566474e-15,0.02075296177716527,0.16491875142073587
NN-Like,256,2,LR-GEMM-RSVD,r=64,0.18417600000975654,6.546634250056812e-14,0.02618799407596474,0.20810963425827053
NN-Like,256,2,LR-GEMM-Det,r=64,0.2390290999901481,2.3968000274032894e-15,0.020178296271831257,0.16035202409564958
NN-Like,256,2,LR-GEMM-RSVD,r=128,0.40154659998370335,4.355027092123938e-14,0.012011557307137289,0.095452931248172
NN-Like,256,2,LR-GEMM-Det,r=128,0.22409209999023005,2.6908475726058907e-15,0.021523293312886386,0.1710403892098504
Dense Gaussian,256,0,NumPy GEMM,optimized,0.0017939999816007912,0.0,1.0,24.416722632868154
Dense Gaussian,256,0,Naive GEMM,outer-product,0.04380359995411709,5.42159585216718e-16,0.040955537523855355,1.0
Dense Gaussian,256,0,Strassen,thresh=64,0.010655299993231893,1.199361707752285e-15,0.16836691437503556,4.110968248847105
Dense Gaussian,256,0,RMM-Uniform,s/n=0.5%,0.0018471999792382121,15.697582866251583,0.9711996544849678,23.713512584696844
Dense Gaussian,256,0,RMM-Importance,s/n=0.5%,0.0017689000233076513,15.934600881009555,1.0141895855969325,24.763185808663795
Dense Gaussian,256,0,RMM-Uniform,s/n=1.0%,0.0007394000422209501,9.006896541237413,2.4262914243446874,59.242084734730845
Dense Gaussian,256,0,RMM-Importance,s/n=1.0%,0.0008165999897755682,9.179751773268437,2.196914038774172,53.64144073300311
Dense Gaussian,256,0,RMM-Uniform,s/n=2.0%,0.0017178999842144549,7.094397044317663,1.0442982700306238,25.49834120532179
Dense Gaussian,256,0,RMM-Importance,s/n=2.0%,0.0018627999816089869,8.405644477072547,0.9630663513595432,23.51492397819431
Dense Gaussian,256,0,RMM-Uniform,s/n=5.0%,0.0018025999888777733,4.773057444415977,0.9952291094363447,24.300233121263613
Dense Gaussian,256,0,RMM-Importance,s/n=5.0%,0.0014194999821484089,4.296568657395765,1.2638252935273573,30.85847164846066
Dense Gaussian,256,0,RMM-Uniform,s/n=10.0%,0.0014970999909564853,3.0084917436283907,1.198316740657128,29.258967482947693
Dense Gaussian,256,0,RMM-Importance,s/n=10.0%,0.002184899989515543,2.977295075238557,0.8210902055972704,20.04833180663324
Dense Gaussian,256,0,RMM-Uniform,s/n=20.0%,0.0018955999985337257,2.1938798013086758,0.9464021855815976,23.10803966448608
Dense Gaussian,256,0,RMM-Importance,s/n=20.0%,0.0029051000019535422,2.1888254111605447,0.61753467364098,15.078172842470567
Dense Gaussian,256,0,LR-GEMM-RSVD,r=8,0.005674700019881129,0.9956134464559209,0.31614005591759387,7.719104058479318
Dense Gaussian,256,0,LR-GEMM-Det,r=8,0.2706115000182763,0.9926426875208452,0.006629429944697953,0.16186895217372035
