density,sparsity_pct,rank,n,trial,rel_error,online_runtime_sec,speedup_online
0.05,95.0,128,512,0,0.8054342251528083,0.00894440000411123,119.60156069990333
0.05,95.0,8,512,1,0.9981419565337961,0.0025597999920137227,472.1752886035116
0.05,95.0,16,512,1,0.995114311420215,0.002313199976924807,522.5118070436655
0.05,95.0,32,512,1,0.9816973366306094,0.0027914000093005598,432.9993178939637
0.05,95.0,64,512,1,0.9407461162235556,0.003652700048405677,330.89886494345626
0.05,95.0,128,512,1,0.8078458712275264,0.005490700015798211,220.13118482500724
0.05,95.0,8,512,2,0.9985786347466662,0.002216299995779991,532.2615630570475
0.05,95.0,16,512,2,0.9945983387733794,0.0030384999699890614,388.2347578109184
0.05,95.0,32,512,2,0.9815321719257541,0.005992699996568263,196.84804856453965
0.05,95.0,64,512,2,0.9383353353437494,0.0033301999792456627,354.22836685753435
0.05,95.0,128,512,2,0.8090496666718462,0.008347499999217689,141.317915551691
0.05,95.0,8,512,3,0.998867234186836,0.0036306000547483563,258.129368648738
0.05,95.0,16,512,3,0.9952511567387449,0.0036028000176884234,260.1211544762778
0.05,95.0,32,512,3,0.9829883202184037,0.00457079999614507,205.03292656398324
0.05,95.0,64,512,3,0.9381284580163348,0.0039013000205159187,240.21851562811457
0.05,95.0,128,512,3,0.8044967618136439,0.007620199990924448,122.98423939849567
0.05,95.0,8,512,4,0.9985418613212034,0.0026479000225663185,459.50477345021966
0.05,95.0,16,512,4,0.9954224731534785,0.0030160999740473926,403.40927371694914
0.05,95.0,32,512,4,0.9827967081683104,0.0051766999531537294,235.03828906423686
0.05,95.0,64,512,4,0.9387837285935262,0.011881600017659366,102.40394376008105
0.05,95.0,128,512,4,0.8095776227878294,0.005568699969444424,218.49313244821076
0.01,99.0,8,512,0,0.9972630560812963,0.0018576000002212822,431.90746119371767
0.01,99.0,16,512,0,0.9896131988380181,0.0019115000031888485,419.7286417319238
0.01,99.0,32,512,0,0.9686011603134076,0.003121500019915402,257.0274851482357
0.01,99.0,64,512,0,0.904634963448187,0.005323300021700561,150.71690431468863
0.01,99.0,128,512,0,0.7419967939526216,0.009353800036478788,85.77383489919582
0.01,99.0,8,512,1,0.9979532790889316,0.002820399997290224,430.56991957935946
0.01,99.0,16,512,1,0.9921186097558504,0.002731200016569346,444.6321736407487
0.01,99.0,32,512,1,0.9750840589982535,0.0040203999960795045,302.05437299748286
0.01,99.0,64,512,1,0.9180630444115242,0.0048800999647937715,248.84314025854096
0.01,99.0,128,512,1,0.7508653906456052,0.011152299994137138,108.89048901601349
0.01,99.0,8,512,2,0.9967352911732242,0.003216399985831231,277.8393557770642
0.01,99.0,16,512,2,0.9892826234391676,0.0021318000508472323,419.19620915176876
0.01,99.0,32,512,2,0.9617739772615769,0.0029983000131323934,298.0497268687594
0.01,99.0,64,512,2,0.8847581386080192,0.0038882000371813774,229.83449705240074
0.01,99.0,128,512,2,0.7119515826346595,0.00969849998364225,92.14234175304934
0.01,99.0,8,512,3,0.9980465414053877,0.003421700035687536,365.4807805933548
0.01,99.0,16,512,3,0.9929676803676459,0.004405300016514957,283.87751011535323
0.01,99.0,32,512,3,0.975105570199319,0.014387999952305108,86.9172646750695
0.01,99.0,64,512,3,0.9159512286115026,0.009074600005988032,137.80944605538352
0.01,99.0,128,512,3,0.7550383415272003,0.021597000013571233,57.904597824399396
0.01,99.0,8,512,4,0.9971365151178705,0.002203300013206899,515.5519417180509
0.01,99.0,16,512,4,0.9897645483116532,0.00284909998299554,398.6927825544135
0.01,99.0,32,512,4,0.971138074993252,0.0047851999988779426,237.3810081632072
0.01,99.0,64,512,4,0.9107350426659739,0.00881999998819083,128.78861695205336
0.01,99.0,128,512,4,0.7418692921157408,0.006246700009796768,181.8425085588799
0.001,99.9,8,512,0,0.9897655932301088,0.0020440000225789845,352.31168886422245
0.001,99.9,16,512,0,0.9649872565262883,0.002125699946191162,338.77081348364055
0.001,99.9,32,512,0,0.8629108934197954,0.00838010001461953,85.93275721495142
0.001,99.9,64,512,0,0.5773980973661947,0.0044572000042535365,161.5644573512722
0.001,99.9,128,512,0,0.12960583491903357,0.008914000005461276,80.78585366301515
0.001,99.9,8,512,1,0.999052138220304,0.002421200042590499,335.15219134578166
0.001,99.9,16,512,1,0.9902880219050907,0.0025301999994553626,320.71397523333275
0.001,99.9,32,512,1,0.853080883926086,0.002617299964185804,310.0410770888234
0.001,99.9,64,512,1,0.5275082685935497,0.0031617999775335193,256.64827178401197
0.001,99.9,128,512,1,0.142059982026027,0.004723499994724989,171.7943264246687
0.001,99.9,8,512,2,0.999400821958313,0.0017693000263534486,417.76916802129784
0.001,99.9,16,512,2,0.99155013118314,0.002055399992968887,359.6180804311841
0.001,99.9,32,512,2,0.8911173072719055,0.002478199952747673,298.26447182771
