algo,n,rank,trial,rel_error,online_runtime_sec,offline_runtime_sec,total_runtime_sec,baseline_runtime_sec,speedup_online,speedup_total
lrgemm_det,512,32,2,0.9717630303187011,0.05414682000409812,0.4873213800368831,0.5414682000409812,0.9645585000398569,17.813760807501787,1.7813760807501788
lrgemm_rsvd,512,64,2,0.9372890836745601,0.007083699980285019,0.21626529993955046,0.22334899991983548,0.9645585000398569,136.16591650187974,4.318615710775767
lrgemm_det,512,64,2,0.9200385558377179,0.05563160000019707,0.5006844000017736,0.5563160000019707,0.9645585000398569,17.338320307818577,1.733832030781858
lrgemm_rsvd,512,128,2,0.8103809517885275,0.010195499984547496,0.43097939994186163,0.4411748999264091,0.9645585000398569,94.60629704298573,2.186340383826803
lrgemm_det,512,128,2,0.7715955526947723,0.05264965000096709,0.4738468500087038,0.5264965000096709,0.9645585000398569,18.320321218130406,1.8320321218130406
lrgemm_rsvd,512,256,2,0.4863774984767246,0.013212299963925034,0.7223219000152312,0.7355341999791563,0.9645585000398569,73.0045868375298,1.3113713815988308
lrgemm_det,512,256,2,0.44121784785769336,0.056122600001981486,0.5051034000178334,0.5612260000198148,0.9645585000398569,17.18663247971052,1.7186632479710524
lrgemm_rsvd,512,4,3,0.9978096063806436,0.002057100005913526,0.006576099956873804,0.00863319996278733,0.7681089999969117,373.3940974132692,88.97152890096139
lrgemm_det,512,4,3,0.9970945474655578,0.05125606000074186,0.4613045400066767,0.5125606000074185,0.7681089999969117,14.985720712551736,1.4985720712551736
lrgemm_rsvd,512,8,3,0.996296303222167,0.0030229000258259475,0.01542039995547384,0.018443299981299788,0.7681089999969117,254.09672613537433,41.6470480215428
lrgemm_det,512,8,3,0.9948514411924071,0.05802464000298642,0.5222217600268778,0.5802464000298643,0.7681089999969117,13.237634907469975,1.3237634907469973
lrgemm_rsvd,512,16,3,0.9929730958990857,0.002110700006596744,0.03391840000404045,0.036029100010637194,0.7681089999969117,363.9119711926269,21.319128142810563
lrgemm_det,512,16,3,0.9886116981184676,0.05519411999848672,0.4967470799863804,0.5519411999848671,0.7681089999969117,13.916500526106248,1.3916500526106248
lrgemm_rsvd,512,32,3,0.9769384119445453,0.003214599972125143,0.08023010002216324,0.08344469999428838,0.7681089999969117,238.94388311374303,9.205006430000793
lrgemm_det,512,32,3,0.9692531725209762,0.050528990000020715,0.4547609100001864,0.5052899000002071,0.7681089999969117,15.20135272833668,1.5201352728336681
lrgemm_rsvd,512,64,3,0.9379375972384025,0.004615299985744059,0.3305102000012994,0.33512549998704344,0.7681089999969117,166.42666833564027,2.2920040403568462
lrgemm_det,512,64,3,0.9150966643272747,0.06134059000178241,0.5520653100160416,0.613405900017824,0.7681089999969117,12.522034756669154,1.2522034756669156
lrgemm_rsvd,512,128,3,0.8071522600915292,0.008277299988549203,0.4768707000184804,0.4851480000070296,0.7681089999969117,92.79704747435902,1.5832467617835837
lrgemm_det,512,128,3,0.7692051891638637,0.1748959999997169,1.574063999997452,1.7489599999971688,0.7681089999969117,4.391804272242676,0.43918042722426764
lrgemm_rsvd,512,256,3,0.48193228083760686,0.049176699947565794,0.9188935999991372,0.968070299946703,0.7681089999969117,15.619368538675856,0.7934434100903621
lrgemm_det,512,256,3,0.4387728808994941,0.07961263000033797,0.7165136700030417,0.7961263000033796,0.7681089999969117,9.648079707876137,0.9648079707876138
lrgemm_rsvd,512,4,4,0.9987735974123564,0.001595799985807389,0.007784800021909177,0.009380600007716566,0.976445300038904,611.884514803323,104.09198763785592
lrgemm_det,512,4,4,0.9979759623921978,0.06385382000007667,0.57468438000069,0.6385382000007667,0.976445300038904,15.291885435166316,1.5291885435166315
lrgemm_rsvd,512,8,4,0.9961383196105753,0.0012289999867789447,0.013054799987003207,0.014283799973782152,0.976445300038904,794.5039141929082,68.36033141259082
lrgemm_det,512,8,4,0.995422097829895,0.03506059999926947,0.31554539999342524,0.3506059999926947,0.976445300038904,27.850216484009096,2.78502164840091
lrgemm_rsvd,512,16,4,0.9921705503241633,0.0013974999892525375,0.019716500013601035,0.021114000002853572,0.976445300038904,698.7086279415017,46.24634365382858
lrgemm_det,512,16,4,0.9904048625194511,0.034482769999885934,0.3103449299989734,0.3448276999988593,0.976445300038904,28.316904356643448,2.831690435664345
lrgemm_rsvd,512,32,4,0.9789086731925597,0.0016126999980770051,0.0474648000090383,0.049077500007115304,0.976445300038904,605.4723762654085,19.895986957309113
lrgemm_det,512,32,4,0.9719481502075127,0.03492116999696009,0.3142905299726408,0.3492116999696009,0.976445300038904,27.96141424024178,2.7961414240241784
lrgemm_rsvd,512,64,4,0.9391438191756434,0.0023877000203356147,0.12501630000770092,0.12740400002803653,0.976445300038904,408.94806371097445,7.664165173966495
lrgemm_det,512,64,4,0.916690134520533,0.04222322999848985,0.3800090699864086,0.4222322999848984,0.976445300038904,23.125784078428566,2.312578407842857
lrgemm_rsvd,512,128,4,0.8082278367102914,0.004107900022063404,0.3510819000075571,0.35518980002962053,0.976445300038904,237.6993828463318,2.7490803507236827
lrgemm_det,512,128,4,0.7692711602392792,0.04509827999863774,0.4058845199877396,0.45098279998637736,0.976445300038904,21.651497575260052,2.1651497575260055
lrgemm_rsvd,512,256,4,0.48076172763408553,0.01581470004748553,0.660552799992729,0.6763675000402145,0.976445300038904,61.742890924709926,1.4436608795970354
lrgemm_det,512,256,4,0.4376305273979284,0.04958511999575421,0.4462660799617879,0.4958511999575421,0.976445300038904,19.692304871350785,1.9692304871350785
