intrinsic_rank,target_rank,n,trial,rel_error,online_runtime_sec,speedup_online
50,64,512,3,3.5344797842838786e-10,0.005849300010595471,215.91937457309896
50,128,512,3,1.2032521411736874e-10,0.009949599974788725,126.9374852434722
50,8,512,4,0.012570605307293,0.0018754999618977308,522.2433590504334
50,16,512,4,0.0049221723593892265,0.0020909999730065465,468.42057037050193
50,32,512,4,0.001531683305098501,0.0028279999969527125,346.3463228627466
50,64,512,4,2.9979589539822036e-10,0.003511300019454211,278.9472259771972
50,128,512,4,8.724396837877605e-11,0.006911300006322563,141.71970528039571
100,8,512,0,0.027873563346081553,0.004300000029616058,207.27776602193606
100,16,512,0,0.010546506082965564,0.0027857000241056085,319.953473927703
100,32,512,0,0.004101171981024941,0.003571600012946874,249.5504526828808
100,64,512,0,0.0010608858240986185,0.007885599974542856,113.02810222563255
100,128,512,0,1.2170431394011045e-08,0.022277000010944903,40.009624257986886
100,8,512,1,0.08529814095035991,0.002484800003003329,411.016540060085
100,16,512,1,0.03919163348607246,0.0038969999877735972,262.07182529635946
100,32,512,1,0.012811313569911826,0.0023975999793037772,425.96509375691755
100,64,512,1,0.004000022033318837,0.0032868999987840652,310.7164502581545
100,128,512,1,3.763179843622483e-08,0.0063516999944113195,160.79063886429216
100,8,512,2,0.03502927806971442,0.002746500016655773,455.03047239379043
100,16,512,2,0.014096818960288937,0.0028310000197961926,441.4486722958059
100,32,512,2,0.005440471231622002,0.00361070001963526,346.12158119263364
100,64,512,2,0.0018072124799418283,0.0037661999813281,331.83081254429965
100,128,512,2,1.5501532398327836e-08,0.008928600000217557,139.97056649172077
100,8,512,3,0.01835349561262466,0.002657499979250133,368.7111976120644
100,16,512,3,0.0060048654501417996,0.0031369999633170664,312.35256979960513
100,32,512,3,0.002303447472577427,0.003871199965942651,253.11273213052837
100,64,512,3,0.0007435496722940929,0.004153399961069226,235.91515606195222
100,128,512,3,6.607471625703338e-09,0.007102400006260723,137.96040762835392
100,8,512,4,0.11063334120883038,0.003618700022343546,264.43913397192705
100,16,512,4,0.03360676880271326,0.0034129999694414437,280.3767678232141
100,32,512,4,0.013661603327937004,0.004884099995251745,195.92676254438496
100,64,512,4,0.005382388218026913,0.009270699985790998,103.22045816166849
100,128,512,4,4.746462808913817e-08,0.005907699989620596,161.97943390726854
