algo,n,rank,trial,rel_error,online_runtime_sec,offline_runtime_sec,total_runtime_sec,speedup_online,speedup_total
lrgemm_rsvd,512,32,1,0.9805620697900994,0.004403500002808869,0.06606349995126948,0.07046699995407835,180.58446679099282,11.284767345560194
lrgemm_rsvd,512,64,1,0.9394023932480146,0.003935700049623847,0.14748210000107065,0.1514178000506945,202.0488578893039,5.251718752716931
naive_matmul,512,512,2,0.0,0.7768892000312917,0.0,0.7768892000312917,1.0,1.0
lrgemm_rsvd,512,16,2,0.9918153969535715,0.0022591999731957912,0.023968700028490275,0.026227900001686066,343.87801400879505,29.620716869492
lrgemm_rsvd,512,32,2,0.9782299255887257,0.003197800018824637,0.058779200015123934,0.06197700003394857,242.94489819811815,12.535121086947452
lrgemm_rsvd,512,64,2,0.9350054841484057,0.0033829999738372862,0.13077349995728582,0.1341564999311231,229.64505055850708,5.790917327376252
naive_matmul,1024,1024,0,0.0,5.559656199999154,0.0,5.559656199999154,1.0,1.0
lrgemm_rsvd,1024,16,0,0.9987485032142366,0.013604400039184839,0.044601199973840266,0.058205600013025105,408.66603334109857,95.51754811830868
lrgemm_rsvd,1024,32,0,0.9952906877540844,0.012529100000392646,0.08247780002420768,0.09500690002460033,443.7394704986728,58.51844653977322
lrgemm_rsvd,1024,64,0,0.984884760228574,0.015758700028527528,0.1752543999464251,0.19101309997495264,352.79916426701857,29.106151362017506
naive_matmul,1024,1024,1,0.0,4.713218299963046,0.0,4.713218299963046,1.0,1.0
lrgemm_rsvd,1024,16,1,0.9985702695379459,0.01204679999500513,0.04862440004944801,0.060671200044453144,391.2423466744073,77.68460647736852
lrgemm_rsvd,1024,32,1,0.9953978987037858,0.012544099998194724,0.08856260002357885,0.10110670002177358,375.73188197171146,46.616280611948
lrgemm_rsvd,1024,64,1,0.9844526624994769,0.014013099949806929,0.1723460999201052,0.18635919986991212,336.3437295705569,25.291041726156283
naive_matmul,1024,1024,2,0.0,4.643490099988412,0.0,4.643490099988412,1.0,1.0
lrgemm_rsvd,1024,16,2,0.9987054410515048,0.014959499996621162,0.046075399965047836,0.061034899961669,310.40409779987414,76.07926125715953
lrgemm_rsvd,1024,32,2,0.9952952921024815,0.0130559999961406,0.08885619998909533,0.10191219998523593,355.6594746753251,45.56363321232509
lrgemm_rsvd,1024,64,2,0.9839131179535014,0.013310399954207242,0.19088750006631017,0.2041979000205174,348.86180099499313,22.74014619896602
