algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
rmm_importance,256,1,51,0.2,2.3118813555731523,0.0015002000145614147,10.836088400216658
naive_matmul,256,2,256,1.0,0.0,0.015466000011656433,1.0
rmm_uniform,256,2,1,0.005,17.451899462957524,0.0005049000028520823,30.63180812892057
rmm_importance,256,2,1,0.005,15.960639525413596,0.0015438999980688095,10.01748819936661
rmm_uniform,256,2,3,0.01,10.4975553906541,0.0005210999515838921,29.67952686360316
rmm_importance,256,2,3,0.01,9.074373488941664,0.0009493000106886029,16.292004463834054
rmm_uniform,256,2,5,0.02,6.70708014860721,0.0005289000109769404,29.241822065930602
rmm_importance,256,2,5,0.02,7.052190599095441,0.0009627999970689416,16.06356466424977
rmm_uniform,256,2,13,0.05,4.241849354390708,0.0006243999814614654,24.769379357534323
rmm_importance,256,2,13,0.05,4.63433276375124,0.0009864999447017908,15.67764914201962
rmm_uniform,256,2,26,0.1,3.0270726394906284,0.0005694000283256173,27.16192350242041
rmm_importance,256,2,26,0.1,3.128516601082006,0.000992200046312064,15.587582432738682
rmm_uniform,256,2,51,0.2,2.154242557870415,0.0010409000096842647,14.858295578600025
rmm_importance,256,2,51,0.2,2.148815993143671,0.0010825999779626727,14.285978502199535
naive_matmul,256,3,256,1.0,0.0,0.02348919998621568,1.0
rmm_uniform,256,3,1,0.005,15.185324375042521,0.0005130000063218176,45.78791363889442
rmm_importance,256,3,1,0.005,15.872845609990343,0.0008725000079721212,26.921718935922605
rmm_uniform,256,3,3,0.01,8.097250632403984,0.0005816000048071146,40.38720734537439
rmm_importance,256,3,3,0.01,9.089057016855564,0.0008890999597497284,26.41907665008513
rmm_uniform,256,3,5,0.02,7.494393962897209,0.0004803999909199774,48.895088322614875
rmm_importance,256,3,5,0.02,7.052098999875668,0.001116700004786253,21.034476480289563
rmm_uniform,256,3,13,0.05,4.471851055244504,0.0008173999958671629,28.73648165522251
rmm_importance,256,3,13,0.05,4.259235540613589,0.0011702000047080219,20.07280797445946
rmm_uniform,256,3,26,0.1,3.0058816179411028,0.0006287999567575753,37.35560051139063
rmm_importance,256,3,26,0.1,2.9325893151075397,0.0011281000333838165,20.821912322578477
rmm_uniform,256,3,51,0.2,2.0633004576592855,0.0009015999967232347,26.052795110453168
rmm_importance,256,3,51,0.2,2.195176025581973,0.0018384000286459923,12.77697977600436
naive_matmul,256,4,256,1.0,0.0,0.016907699988223612,1.0
rmm_uniform,256,4,1,0.005,18.051298852669873,0.0005454000202007592,31.000548885201667
rmm_importance,256,4,1,0.005,15.796163650204775,0.0012056000414304435,14.024302759779802
rmm_uniform,256,4,3,0.01,9.137465167681173,0.0005876999930478632,28.76927035601755
rmm_importance,256,4,3,0.01,9.04936069937708,0.0007130000158213079,23.713463692911084
rmm_uniform,256,4,5,0.02,7.165892328064352,0.0004491000436246395,37.64795890858378
rmm_importance,256,4,5,0.02,6.838829013423622,0.0006261999951675534,27.000479269725304
rmm_uniform,256,4,13,0.05,4.441648493461796,0.0005570999928750098,30.349488789200187
rmm_importance,256,4,13,0.05,4.308573520056466,0.0011433999752625823,14.787213883173953
rmm_uniform,256,4,26,0.1,3.0672560108638556,0.0007256999961100519,23.298470550990015
rmm_importance,256,4,26,0.1,3.315267596063224,0.000964400009252131,17.53183308380008
rmm_uniform,256,4,51,0.2,2.242489102177914,0.0008738000178709626,19.349621929992267
rmm_importance,256,4,51,0.2,2.0650219906985074,0.0010735000250861049,15.750069485901927
naive_matmul,512,0,512,1.0,0.0,0.46285579999675974,1.0
rmm_uniform,512,0,3,0.005,13.331915552300474,0.0026596999960020185,174.0255670536191
rmm_importance,512,0,3,0.005,12.990795032730023,0.00410700001521036,112.69924477296412
rmm_uniform,512,0,5,0.01,9.644047280759404,0.003099299967288971,149.3420465530577
rmm_importance,512,0,5,0.01,10.05947142710716,0.004073699994478375,113.62049258024143
rmm_uniform,512,0,10,0.02,7.696168057123515,0.0020046000136062503,230.8968357054373
rmm_importance,512,0,10,0.02,7.058932440655176,0.004244799958541989,109.04066257947811
rmm_uniform,512,0,26,0.05,4.3056560421564685,0.00243130000308156,190.37379155600357
rmm_importance,512,0,26,0.05,4.301396728580416,0.004143600002862513,111.7037840710991
rmm_uniform,512,0,51,0.1,3.2465226047972098,0.00334840000141412,138.23193160950996
rmm_importance,512,0,51,0.1,3.064030466507767,0.005290100001730025,87.49471651677506
rmm_uniform,512,0,102,0.2,2.2011744763740104,0.003151099954266101,146.8870574448534
rmm_importance,512,0,102,0.2,2.1612878740713257,0.023017900006379932,20.108515540882042
naive_matmul,512,1,512,1.0,0.0,0.5232971999794245,1.0
rmm_uniform,512,1,3,0.005,12.54670129454161,0.002525600022636354,207.1971790027066
rmm_importance,512,1,3,0.005,12.944332678990882,0.004384600033517927,119.3489020615556
rmm_uniform,512,1,5,0.01,10.019581732719345,0.0025182999670505524,207.79780281390117
rmm_importance,512,1,5,0.01,9.967917061763098,0.0042863000417128205,122.08599372112856
rmm_uniform,512,1,10,0.02,7.161539632581083,0.002292899996973574,228.22504281483302
rmm_importance,512,1,10,0.02,7.06523875011924,0.005745199974626303,91.08424463736137
rmm_uniform,512,1,26,0.05,4.315707225136126,0.003136000013910234,166.86772884510694
rmm_importance,512,1,26,0.05,4.474497084577392,0.004770900006406009,109.68521647420403
rmm_uniform,512,1,51,0.1,3.1101065858154797,0.0038685999461449683,135.26785071195752
rmm_importance,512,1,51,0.1,3.247407956341161,0.005897100025322288,88.73805730484031
rmm_uniform,512,1,102,0.2,2.220665383335995,0.007152599981054664,73.16181547486224
rmm_importance,512,1,102,0.2,2.2231201869399966,0.007912500004749745,66.13550706670429
naive_matmul,512,2,512,1.0,0.0,0.5144430000218563,1.0
rmm_uniform,512,2,3,0.005,13.260448530495061,0.002355300006456673,218.4193090526023
rmm_importance,512,2,3,0.005,13.024840397501135,0.003918500035069883,131.28569488775867
rmm_uniform,512,2,5,0.01,10.02676577122489,0.002380400022957474,216.11619688303406
rmm_importance,512,2,5,0.01,10.038019549135788,0.003927899990230799,130.97151182599947
rmm_uniform,512,2,10,0.02,7.227212942145633,0.002242899965494871,229.36511121143565
rmm_importance,512,2,10,0.02,7.061019516815813,0.00609380000969395,84.42072257105353
rmm_uniform,512,2,26,0.05,4.339666931913207,0.002777300018351525,185.23133857436312
rmm_importance,512,2,26,0.05,4.321752200263499,0.0051574999815784395,99.74658300714377
rmm_uniform,512,2,51,0.1,3.158568086752167,0.0035235999966971576,145.99926226134318
rmm_importance,512,2,51,0.1,3.191461528339541,0.005202799977269024,98.87810453399172
rmm_uniform,512,2,102,0.2,2.207665288516573,0.004169999971054494,123.36762676086202
rmm_importance,512,2,102,0.2,2.13904805609731,0.006447400024626404,79.79076807036893
naive_matmul,512,3,512,1.0,0.0,0.48950279998825863,1.0
rmm_uniform,512,3,3,0.005,12.934094311444277,0.0022140999790281057,221.0843252901024
rmm_importance,512,3,3,0.005,12.999101515276969,0.0038157000089995563,128.28650020539797
rmm_uniform,512,3,5,0.01,10.329323503639538,0.0030043000006116927,162.93406114189432
rmm_importance,512,3,5,0.01,10.047465619328495,0.003884200006723404,126.02409740511501
rmm_uniform,512,3,10,0.02,7.2318646864526706,0.0026631999644450843,183.80249569065066
rmm_importance,512,3,10,0.02,7.068027305363025,0.004492800042498857,108.95272332574173
rmm_uniform,512,3,26,0.05,4.2823659255773885,0.0026900999946519732,181.964536991714
rmm_importance,512,3,26,0.05,4.492013760272367,0.0050187999731861055,97.53383330746803
rmm_uniform,512,3,51,0.1,3.0789591858762906,0.0027605000068433583,177.32396260632757
rmm_importance,512,3,51,0.1,3.059924391487322,0.005168499948922545,94.70887197944216
rmm_uniform,512,3,102,0.2,2.1873907161201465,0.007020000019110739,69.72974339824383
rmm_importance,512,3,102,0.2,2.188082973369155,0.0058803000138141215,83.24452814283431
naive_matmul,512,4,512,1.0,0.0,0.5112922000116669,1.0
rmm_uniform,512,4,3,0.005,12.507931113938891,0.0029199999989941716,175.10006855746147
rmm_importance,512,4,3,0.005,13.024470085179239,0.006001800007652491,85.18980961707364
rmm_uniform,512,4,5,0.01,9.916067082881918,0.0024006000021472573,212.98517018842495
rmm_importance,512,4,5,0.01,10.054133377871736,0.0050389000098221,101.46901089821748
rmm_uniform,512,4,10,0.02,7.013749628773532,0.002722800010815263,187.7817680258402
rmm_importance,512,4,10,0.02,7.767343028299066,0.0050398000166751444,101.45089057501461
rmm_uniform,512,4,26,0.05,4.466288336497091,0.0029297000146470964,174.52032544473866
rmm_importance,512,4,26,0.05,4.508674513139227,0.005923699995037168,86.31298013741811
rmm_uniform,512,4,51,0.1,3.1439276672048506,0.0033384999842382967,153.15027779708734
rmm_importance,512,4,51,0.1,3.0717942937080087,0.006228899990674108,82.08386726021804
rmm_uniform,512,4,102,0.2,2.2685512173698523,0.004184000019449741,122.20176807716878
rmm_importance,512,4,102,0.2,2.341807227188894,0.005891100037842989,86.79061579794106
naive_matmul,1024,0,1024,1.0,0.0,3.9290129999862984,1.0
rmm_uniform,1024,0,5,0.005,13.989056158572048,0.012171799957286566,322.7963829321908
rmm_importance,1024,0,5,0.005,14.267649772654226,0.01880010002059862,208.98894131847248
rmm_uniform,1024,0,10,0.01,10.070794000392693,0.011240600026212633,349.5376573158013
rmm_importance,1024,0,10,0.01,10.054691512750797,0.017801699985284358,220.70998855357564
rmm_uniform,1024,0,20,0.02,7.110947217951776,0.01243070000782609,316.07335045594215
rmm_importance,1024,0,20,0.02,7.081540526340034,0.020114600018132478,195.3314008950939
rmm_uniform,1024,0,51,0.05,4.645535213755732,0.01284989999840036,305.76214604591536
rmm_importance,1024,0,51,0.05,4.627002315425926,0.018015299981925637,218.0931210653274
rmm_uniform,1024,0,102,0.1,3.2245782586088745,0.01322779996553436,297.02694402875176
rmm_importance,1024,0,102,0.1,3.1563188502615596,0.023150499968323857,169.71611867399196
rmm_uniform,1024,0,205,0.2,2.2329336891877105,0.016282199998386204,241.3072557993219
rmm_importance,1024,0,205,0.2,2.247376778389,0.02290109999012202,171.5643790770316
naive_matmul,1024,1,1024,1.0,0.0,3.866150200017728,1.0
rmm_uniform,1024,1,5,0.005,14.635823754508026,0.01585610001347959,243.8273091574243
rmm_importance,1024,1,5,0.005,14.28318379980764,0.02863040001830086,135.03654149248501
rmm_uniform,1024,1,10,0.01,10.144907822383312,0.01623820001259446,238.08982504336163
rmm_importance,1024,1,10,0.01,10.06643757023055,0.026685899996664375,144.8761406023773
rmm_uniform,1024,1,20,0.02,7.407411185381362,0.01798359997337684,214.98199502553592
rmm_importance,1024,1,20,0.02,7.082769435300806,0.027890800032764673,138.61740055774573
rmm_uniform,1024,1,51,0.05,4.453234248864753,0.017990300024393946,214.9019301943504
rmm_importance,1024,1,51,0.05,4.63074745851382,0.029392399999778718,131.5357099129991
rmm_uniform,1024,1,102,0.1,3.1752182241983986,0.02128929999889806,181.600625676647
rmm_importance,1024,1,102,0.1,3.1998528663789028,0.03311050002230331,116.76508048544963
rmm_uniform,1024,1,205,0.2,2.2045817315014595,0.02388499997323379,161.86519591167033
rmm_importance,1024,1,205,0.2,2.281288996016961,0.037172799988184124,104.00481538239347
naive_matmul,1024,2,1024,1.0,0.0,5.427428500028327,1.0
