matrix_type,algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
Low-Rank (r=10),rmm_uniform,512,2,26,0.05,11.204228196352071,0.007331300002988428,79.34981514802112
Low-Rank (r=10),rmm_importance,512,2,26,0.05,7.376348312251251,0.006626299989875406,87.79217676843466
Low-Rank (r=10),rmm_uniform,512,2,51,0.1,3.76772063959437,0.003330300038214773,174.6801469406529
Low-Rank (r=10),rmm_importance,512,2,51,0.1,2.5387590003067273,0.005117799970321357,113.66940939571148
Low-Rank (r=10),rmm_uniform,512,2,102,0.2,2.7624371235973504,0.004414499970152974,131.77875273870706
Low-Rank (r=10),rmm_importance,512,2,102,0.2,1.8152877277307682,0.005587999999988824,104.10474231084143
Low-Rank (r=10),rmm_uniform,512,3,3,0.005,8.195302136125814,0.0029018999775871634,205.61532259769487
Low-Rank (r=10),rmm_importance,512,3,3,0.005,7.404643599392128,0.006427200045436621,92.83593101501076
Low-Rank (r=10),rmm_uniform,512,3,5,0.01,4.308254345190466,0.003002299985382706,198.7393341580986
Low-Rank (r=10),rmm_importance,512,3,5,0.01,2.3628297409107653,0.006380899983923882,93.50955218560057
Low-Rank (r=10),rmm_uniform,512,3,10,0.02,1.1364748374600726,0.004402599995955825,135.5278927419994
Low-Rank (r=10),rmm_importance,512,3,10,0.02,3.463319713800281,0.007133200007956475,83.64760547472214
Low-Rank (r=10),rmm_uniform,512,3,26,0.05,2.572070363613057,0.0035105000133626163,169.96869328204008
Low-Rank (r=10),rmm_importance,512,3,26,0.05,3.0283845444962725,0.0064091000240296125,93.09811015598393
Low-Rank (r=10),rmm_uniform,512,3,51,0.1,1.1809056991911349,0.003719799977261573,160.40515718188854
Low-Rank (r=10),rmm_importance,512,3,51,0.1,1.21393549336106,0.014950400043744594,39.91030997779108
Low-Rank (r=10),rmm_uniform,512,3,102,0.2,1.1906889140538144,0.004447199986316264,134.16871331933743
Low-Rank (r=10),rmm_importance,512,3,102,0.2,1.2533166479476854,0.007283299986738712,81.92372978241214
Low-Rank (r=10),rmm_uniform,512,4,3,0.005,40.832881587385714,0.002485400007572025,238.10123046179677
Low-Rank (r=10),rmm_importance,512,4,3,0.005,7.666816239349454,0.004797999979928136,123.33822477454903
Low-Rank (r=10),rmm_uniform,512,4,5,0.01,15.539872616550857,0.0024479000130668283,241.74876295345751
Low-Rank (r=10),rmm_importance,512,4,5,0.01,3.664578145746035,0.004823499999474734,122.68618224465659
Low-Rank (r=10),rmm_uniform,512,4,10,0.02,4.951046236236015,0.0026320000179111958,224.8392081935863
Low-Rank (r=10),rmm_importance,512,4,10,0.02,6.161469529134684,0.004468999977689236,132.41817027232239
Low-Rank (r=10),rmm_uniform,512,4,26,0.05,3.7012090941245344,0.0030494999955408275,194.0569932310188
Low-Rank (r=10),rmm_importance,512,4,26,0.05,2.61979695004166,0.004950299975462258,119.54362420984361
Low-Rank (r=10),rmm_uniform,512,4,51,0.1,1.0136455674656977,0.0029634999809786677,199.6884777428713
Low-Rank (r=10),rmm_importance,512,4,51,0.1,0.9929022270768364,0.006409999972674996,92.32087402735202
Low-Rank (r=10),rmm_uniform,512,4,102,0.2,1.8562837859529833,0.0037870999658480287,156.26120391045558
Low-Rank (r=10),rmm_importance,512,4,102,0.2,1.7341717647818173,0.006054099998436868,97.74810461430293
Low-Rank (r=10),rmm_uniform,512,5,3,0.005,12.74231095966061,0.006457199982833117,97.0765659528037
Low-Rank (r=10),rmm_importance,512,5,3,0.005,10.402858201639624,0.006331799959298223,98.99914779894868
Low-Rank (r=10),rmm_uniform,512,5,5,0.01,13.34284523581463,0.0031709999893791974,197.67984929153604
Low-Rank (r=10),rmm_importance,512,5,5,0.01,12.70258564308151,0.005909500003326684,106.07374560471584
Low-Rank (r=10),rmm_uniform,512,5,10,0.02,6.241058982198198,0.002771100029349327,226.2072077387726
Low-Rank (r=10),rmm_importance,512,5,10,0.02,8.603987059571319,0.004119100049138069,152.1795519715794
Low-Rank (r=10),rmm_uniform,512,5,26,0.05,5.696258919532049,0.003503599960822612,178.91391911557315
Low-Rank (r=10),rmm_importance,512,5,26,0.05,3.713714053455595,0.007193600002210587,87.13895682430407
Low-Rank (r=10),rmm_uniform,512,5,51,0.1,4.035854272762838,0.0036407000152394176,172.17644886424955
Low-Rank (r=10),rmm_importance,512,5,51,0.1,3.8375015656253764,0.00667899998370558,93.85279256373991
Low-Rank (r=10),rmm_uniform,512,5,102,0.2,2.8464434614933403,0.004511000006459653,138.95872292314718
