density,sparsity_pct,algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
0.1,90.0,rmm_uniform,512,2,5,0.01,9.31401561669245,0.002571800025179982,228.5368202267342
0.1,90.0,rmm_importance,512,2,5,0.01,9.928868103253826,0.006300400011241436,93.28788631911915
0.1,90.0,rmm_uniform,512,2,10,0.02,6.551589578970463,0.002554799953941256,230.0575429034874
0.1,90.0,rmm_importance,512,2,10,0.02,6.9626248751828,0.004640900006052107,126.64590903643551
0.1,90.0,rmm_uniform,512,2,26,0.05,4.435957502337233,0.0029554999782703817,198.8668598663404
0.1,90.0,rmm_importance,512,2,26,0.05,4.421633248018668,0.004804299969691783,122.33853084144013
0.1,90.0,rmm_uniform,512,2,51,0.1,3.0743399135366505,0.002861599961761385,205.3924405464043
0.1,90.0,rmm_importance,512,2,51,0.1,3.0854625814789687,0.005648199992720038,104.05987761963459
0.1,90.0,rmm_uniform,512,2,102,0.2,2.220131196779521,0.0036631000111810863,160.45180263155322
0.1,90.0,rmm_importance,512,2,102,0.2,2.1630265974189062,0.008515299996361136,69.02293521835205
0.1,90.0,rmm_uniform,512,3,3,0.005,11.596664338955758,0.002590599993709475,216.01767981872356
0.1,90.0,rmm_importance,512,3,3,0.005,12.809887869297826,0.00456050003413111,122.70921955735528
0.1,90.0,rmm_uniform,512,3,5,0.01,9.551156038475584,0.003637000045273453,153.86730630008697
0.1,90.0,rmm_importance,512,3,5,0.01,9.904774896384492,0.0056989999720826745,98.19536808578218
0.1,90.0,rmm_uniform,512,3,10,0.02,6.961142621615159,0.0029684000182896852,188.52425432268944
0.1,90.0,rmm_importance,512,3,10,0.02,6.976295175998932,0.006543900002725422,85.51710749651589
0.1,90.0,rmm_uniform,512,3,26,0.05,4.173241247710103,0.003444799978751689,162.4522188316755
0.1,90.0,rmm_importance,512,3,26,0.05,4.25424708096079,0.007067499973345548,79.18152134277477
0.1,90.0,rmm_uniform,512,3,51,0.1,3.116501433853529,0.003151999961119145,177.54295903633965
0.1,90.0,rmm_importance,512,3,51,0.1,3.1949995128318505,0.0052829000051133335,105.92958402352255
0.1,90.0,rmm_uniform,512,3,102,0.2,2.281281360765426,0.00390549999428913,143.2890541026311
0.1,90.0,rmm_importance,512,3,102,0.2,2.187333480470247,0.007094800006598234,78.87683929907435
0.1,90.0,rmm_uniform,512,4,3,0.005,10.816729062723814,0.0031603999668732285,182.05303317648844
0.1,90.0,rmm_importance,512,4,3,0.005,12.81620527882517,0.007435499981511384,77.38018982594276
0.1,90.0,rmm_uniform,512,4,5,0.01,10.268759920642191,0.0036146999918855727,159.17237981346656
0.1,90.0,rmm_importance,512,4,5,0.01,9.920277665501992,0.008533300017006695,67.42531012310164
0.1,90.0,rmm_uniform,512,4,10,0.02,7.5065381015510395,0.00377509999088943,152.40931403371582
0.1,90.0,rmm_importance,512,4,10,0.02,6.963107636639297,0.00791319995187223,72.70894246568571
0.1,90.0,rmm_uniform,512,4,26,0.05,4.610511719702526,0.004057699989061803,141.7947116768424
0.1,90.0,rmm_importance,512,4,26,0.05,4.252233781737325,0.008501600008457899,67.67671961133692
0.1,90.0,rmm_uniform,512,4,51,0.1,3.0087328526479036,0.004645700042601675,123.84794428052071
0.1,90.0,rmm_importance,512,4,51,0.1,3.265228726948498,0.008190799970179796,70.24471383929
0.1,90.0,rmm_uniform,512,4,102,0.2,2.219907156112226,0.004793800006154925,120.02177798018688
0.1,90.0,rmm_importance,512,4,102,0.2,2.111325660482939,0.00963929999852553,59.68902307306075
0.1,90.0,rmm_uniform,512,5,3,0.005,14.058828904343958,0.0032970000174827874,177.70815800048405
0.1,90.0,rmm_importance,512,5,3,0.005,12.783712835442188,0.004786700010299683,122.40244819473197
0.1,90.0,rmm_uniform,512,5,5,0.01,9.471411398598493,0.0032187000033445656,182.03119253910418
0.1,90.0,rmm_importance,512,5,5,0.01,9.916587681830489,0.00470549997407943,124.51467501050286
0.1,90.0,rmm_uniform,512,5,10,0.02,6.884928587953748,0.0030975999543443322,189.14766550558267
0.1,90.0,rmm_importance,512,5,10,0.02,6.970092582927693,0.005422300018835813,108.05447835773306
0.1,90.0,rmm_uniform,512,5,26,0.05,4.795242278237595,0.0029753000126220286,196.9225952169083
0.1,90.0,rmm_importance,512,5,26,0.05,4.588866326017011,0.005494999990332872,106.62489555326414
0.1,90.0,rmm_uniform,512,5,51,0.1,3.25959171205687,0.00579610001295805,101.08586786365905
0.1,90.0,rmm_importance,512,5,51,0.1,2.945649645917454,0.006030399992596358,97.15836441260208
0.1,90.0,rmm_uniform,512,5,102,0.2,2.202253667119818,0.00585830002091825,100.0125971599852
0.1,90.0,rmm_importance,512,5,102,0.2,2.162140624277353,0.007005200022831559,83.63841119808636
0.1,90.0,rmm_uniform,512,6,3,0.005,13.874434106052464,0.0030328999855555594,199.74582179289538
0.1,90.0,rmm_importance,512,6,3,0.005,12.802727989870554,0.004773499967996031,126.91088385715047
0.1,90.0,rmm_uniform,512,6,5,0.01,10.621698823869764,0.002463200013153255,245.94393341811158
0.1,90.0,rmm_importance,512,6,5,0.01,9.91882890420448,0.004801100003533065,126.18131252934721
0.1,90.0,rmm_uniform,512,6,10,0.02,6.791082121748954,0.0026060999953188,232.45811792281134
0.1,90.0,rmm_importance,512,6,10,0.02,6.967984715105071,0.004498900030739605,134.65715972596584
0.1,90.0,rmm_uniform,512,6,26,0.05,4.481051241918014,0.0029631000361405313,204.45111290252908
0.1,90.0,rmm_importance,512,6,26,0.05,4.264179315503032,0.004869800002779812,124.40122791175074
0.1,90.0,rmm_uniform,512,6,51,0.1,3.0031208422504725,0.0034599999780766666,175.08933637832303
0.1,90.0,rmm_importance,512,6,51,0.1,3.2019813043485073,0.006869799981359392,88.1843869798635
0.1,90.0,rmm_uniform,512,6,102,0.2,2.2073377503839504,0.0037597999908030033,161.12801253054673
0.1,90.0,rmm_importance,512,6,102,0.2,2.153729192079253,0.005598700023256242,108.20531507564375
0.1,90.0,rmm_uniform,512,7,3,0.005,12.114480217406404,0.0025654000346548855,222.35245666207817
0.1,90.0,rmm_importance,512,7,3,0.005,12.85496768347211,0.00514560000738129,110.8564597341866
0.1,90.0,rmm_uniform,512,7,5,0.01,9.475872173153983,0.0024642000207677484,231.48404967904057
0.1,90.0,rmm_importance,512,7,5,0.01,9.921552707463999,0.005558700009714812,102.6180580044937
0.1,90.0,rmm_uniform,512,7,10,0.02,7.106366355793953,0.004818800021894276,118.37449104232806
0.1,90.0,rmm_importance,512,7,10,0.02,6.975088993734273,0.004579100001137704,124.57098553968453
0.1,90.0,rmm_uniform,512,7,26,0.05,4.191113704505132,0.0026683000032790005,213.77768591444632
0.1,90.0,rmm_importance,512,7,26,0.05,4.395164615580027,0.004958599980454892,115.03710770679365
0.1,90.0,rmm_uniform,512,7,51,0.1,2.996816592365087,0.0031132999574765563,183.2213432106436
0.1,90.0,rmm_importance,512,7,51,0.1,3.202577516477962,0.005296599993016571,107.69606932344941
