algo,dist,n,rep,time_ns,swaps
QS_small,almost_sorted,65536,2,1920025,702274
QS_small,almost_sorted,65536,3,1961461,747878
QS_small,almost_sorted,65536,4,2658281,710298
QS_small,almost_sorted,131072,0,4297373,1590471
QS_small,almost_sorted,131072,1,4346327,1692520
QS_small,almost_sorted,131072,2,4264558,1587028
QS_small,almost_sorted,131072,3,4031775,1492828
QS_small,almost_sorted,131072,4,4145942,1580649
QS_small,almost_sorted,262144,0,8335221,3125853
QS_small,almost_sorted,262144,1,8326073,3122940
QS_small,almost_sorted,262144,2,8392514,3168162
QS_small,almost_sorted,262144,3,10419975,2998160
QS_small,almost_sorted,262144,4,8495160,3215470
QS_small,almost_sorted,524288,0,18683314,7129134
QS_small,almost_sorted,524288,1,18704992,6603277
QS_small,almost_sorted,524288,2,17481302,7131966
QS_small,almost_sorted,524288,3,18413469,7121084
QS_small,almost_sorted,524288,4,17195452,6306241
QS_small,almost_sorted,1048576,0,36237168,14230155
QS_small,almost_sorted,1048576,1,36054023,13552154
QS_small,almost_sorted,1048576,2,38925778,14075757
QS_small,almost_sorted,1048576,3,37337088,14304535
QS_small,almost_sorted,1048576,4,37197061,14256075
QS_small,uniform,1024,0,39322,7316
QS_small,uniform,1024,1,38879,7045
QS_small,uniform,1024,2,38834,7522
QS_small,uniform,1024,3,38291,6865
QS_small,uniform,1024,4,38307,6509
QS_small,uniform,2048,0,85961,15241
QS_small,uniform,2048,1,81291,14077
QS_small,uniform,2048,2,82177,14665
QS_small,uniform,2048,3,87303,14399
QS_small,uniform,2048,4,80328,15737
QS_small,uniform,4096,0,176932,32565
QS_small,uniform,4096,1,172499,31953
QS_small,uniform,4096,2,174741,36613
QS_small,uniform,4096,3,171264,31492
QS_small,uniform,4096,4,171867,35373
QS_small,uniform,8192,0,378620,71741
QS_small,uniform,8192,1,371151,72650
QS_small,uniform,8192,2,358003,69449
QS_small,uniform,8192,3,373059,72893
QS_small,uniform,8192,4,396848,75597
QS_small,uniform,16384,0,833089,146729
QS_small,uniform,16384,1,782270,181303
QS_small,uniform,16384,2,794028,156403
QS_small,uniform,16384,3,794849,156550
QS_small,uniform,16384,4,802775,153465
QS_small,uniform,32768,0,1696935,315910
QS_small,uniform,32768,1,1746827,314742
QS_small,uniform,32768,2,1645595,335828
QS_small,uniform,32768,3,1685412,350207
QS_small,uniform,32768,4,1807010,325390
QS_small,uniform,65536,0,3597530,692186
QS_small,uniform,65536,1,3484812,701457
QS_small,uniform,65536,2,3566933,680525
QS_small,uniform,65536,3,4075939,743907
QS_small,uniform,65536,4,3551216,733601
QS_small,uniform,131072,0,7624185,1490315
QS_small,uniform,131072,1,7711809,1743895
QS_small,uniform,131072,2,7807931,1504991
QS_small,uniform,131072,3,7697199,1422293
QS_small,uniform,131072,4,7786718,1537869
QS_small,uniform,262144,0,15937357,3294743
QS_small,uniform,262144,1,15606826,2946587
QS_small,uniform,262144,2,16086031,3359761
QS_small,uniform,262144,3,16060197,3240372
QS_small,uniform,262144,4,15681906,3346760
QS_small,uniform,524288,0,32961686,7634425
QS_small,uniform,524288,1,34070604,7031247
QS_small,uniform,524288,2,33554318,6847098
QS_small,uniform,524288,3,33701333,6460423
QS_small,uniform,524288,4,34971893,6678266
QS_small,uniform,1048576,0,70445235,14803356
QS_small,uniform,1048576,1,69146429,14057068
QS_small,uniform,1048576,2,69518588,14590437
QS_small,uniform,1048576,3,71051531,14096235
QS_small,uniform,1048576,4,70561724,14452607
QS_small,normal,1024,0,39757,6246
QS_small,normal,1024,1,38019,8797
QS_small,normal,1024,2,38040,7335
QS_small,normal,1024,3,37572,6736
QS_small,normal,1024,4,38229,7309
QS_small,normal,2048,0,83754,14923
QS_small,normal,2048,1,79917,14594
QS_small,normal,2048,2,80743,16131
QS_small,normal,2048,3,79238,15795
QS_small,normal,2048,4,79806,14471
QS_small,normal,4096,0,171461,33057
QS_small,normal,4096,1,184575,32934
QS_small,normal,4096,2,172677,31603
QS_small,normal,4096,3,170021,35932
QS_small,normal,4096,4,174377,32940
QS_small,normal,8192,0,360553,72498
QS_small,normal,8192,1,353683,71177
QS_small,normal,8192,2,355404,75602
QS_small,normal,8192,3,361619,77114
QS_small,normal,8192,4,353494,69227
QS_small,normal,16384,0,851027,140029
QS_small,normal,16384,1,805753,168019
QS_small,normal,16384,2,726376,136093
QS_small,normal,16384,3,733946,149175
QS_small,normal,16384,4,720711,151289
QS_small,normal,32768,0,1888956,332044
QS_small,normal,32768,1,1466964,336056
QS_small,normal,32768,2,1499463,291856
QS_small,normal,32768,3,1544892,310246
QS_small,normal,32768,4,1514926,310116
QS_small,normal,65536,0,3388539,621517
QS_small,normal,65536,1,3150225,650624
QS_small,normal,65536,2,3188257,605297
QS_small,normal,65536,3,3142753,606415
QS_small,normal,65536,4,3204596,619405
QS_small,normal,131072,0,6696292,1136630
QS_small,normal,131072,1,6663276,1278908
QS_small,normal,131072,2,6891355,1243747
QS_small,normal,131072,3,6860274,1381317
QS_small,normal,131072,4,7144134,1357861
QS_small,normal,262144,0,15958610,2627564
QS_small,normal,262144,1,15160351,2572770
QS_small,normal,262144,2,15213053,2439548
QS_small,normal,262144,3,15269737,2772895
QS_small,normal,262144,4,15303690,2490802
QS_small,normal,524288,0,36497728,5413094
QS_small,normal,524288,1,37416242,5027652
QS_small,normal,524288,2,37085983,5519192
QS_small,normal,524288,3,37513247,5231158
QS_small,normal,524288,4,38506116,5087481
QS_small,normal,1048576,0,91549229,11814775
QS_small,normal,1048576,1,93385273,10077663
QS_small,normal,1048576,2,93604993,10823411
QS_small,normal,1048576,3,96150944,10800132
QS_small,normal,1048576,4,92059029,9318636
QS_small,stock,1024,0,31801,7040
QS_small,stock,1024,1,31037,7744
QS_small,stock,1024,2,30677,6156
QS_small,stock,1024,3,30623,7023
QS_small,stock,1024,4,30111,6949
QS_small,stock,2048,0,67578,13707
QS_small,stock,2048,1,63474,13792
QS_small,stock,2048,2,64366,14976
QS_small,stock,2048,3,76035,18055
QS_small,stock,2048,4,62873,14932
QS_small,stock,4096,0,139712,35630
QS_small,stock,4096,1,134247,31009
QS_small,stock,4096,2,133504,29162
QS_small,stock,4096,3,135983,33897
QS_small,stock,4096,4,134635,30546
QS_small,stock,8192,0,278279,72483
QS_small,stock,8192,1,276625,68695
QS_small,stock,8192,2,273828,76705
QS_small,stock,8192,3,278609,78621
QS_small,stock,8192,4,279217,83181
QS_small,stock,16384,0,579846,140207
QS_small,stock,16384,1,578418,158104
QS_small,stock,16384,2,563537,142136
QS_small,stock,16384,3,599238,178168
QS_small,stock,16384,4,571604,150344
QS_small,stock,32768,0,1271030,334469
QS_small,stock,32768,1,1221340,332900
QS_small,stock,32768,2,1210755,318347
QS_small,stock,32768,3,1226829,348905
QS_small,stock,32768,4,1311169,315208
QS_small,stock,65536,0,2436230,627020
QS_small,stock,65536,1,2548175,782539
QS_small,stock,65536,2,3288285,692463
QS_small,stock,65536,3,2559469,681159
QS_small,stock,65536,4,2492076,632567
QS_small,stock,131072,0,5257651,1538010
QS_small,stock,131072,1,5199116,1382212
QS_small,stock,131072,2,5235722,1537533
QS_small,stock,131072,3,5411369,1447435
QS_small,stock,131072,4,5208351,1460691
QS_small,stock,262144,0,11363935,3254935
QS_small,stock,262144,1,10822309,2994466
QS_small,stock,262144,2,11191708,3007613
QS_small,stock,262144,3,11185720,3284800
QS_small,stock,262144,4,11082175,2996193
QS_small,stock,524288,0,22513118,6366025
QS_small,stock,524288,1,23003697,7278314
QS_small,stock,524288,2,22392875,6040727
QS_small,stock,524288,3,22444523,6578671
QS_small,stock,524288,4,22277188,5944597
QS_small,stock,1007339,0,44229698,13248564
QS_small,stock,1007339,1,44260114,12445824
QS_small,stock,1007339,2,46601025,12784083
QS_small,stock,1007339,3,54549278,13448895
QS_small,stock,1007339,4,44935280,13746330
QS_cut16,sorted,1024,0,9183,4048
QS_cut16,sorted,1024,1,9691,4613
QS_cut16,sorted,1024,2,8206,4735
QS_cut16,sorted,1024,3,8586,4346
QS_cut16,sorted,1024,4,8627,5591
QS_cut16,sorted,2048,0,19188,12324
QS_cut16,sorted,2048,1,17356,12457
QS_cut16,sorted,2048,2,17084,10680
QS_cut16,sorted,2048,3,16969,9842
QS_cut16,sorted,2048,4,17346,10655
QS_cut16,sorted,4096,0,40080,23610
QS_cut16,sorted,4096,1,37949,28368
QS_cut16,sorted,4096,2,34959,19795
QS_cut16,sorted,4096,3,34693,22264
QS_cut16,sorted,4096,4,35522,23022
QS_cut16,sorted,8192,0,122627,56397
QS_cut16,sorted,8192,1,72971,48269
QS_cut16,sorted,8192,2,83419,58937
QS_cut16,sorted,8192,3,70804,46677
QS_cut16,sorted,8192,4,72438,52882
QS_cut16,sorted,16384,0,158351,113139
QS_cut16,sorted,16384,1,155024,110812
QS_cut16,sorted,16384,2,161194,122884
QS_cut16,sorted,16384,3,207818,129432
QS_cut16,sorted,16384,4,158380,129400
QS_cut16,sorted,32768,0,329230,253640
QS_cut16,sorted,32768,1,353487,259105
QS_cut16,sorted,32768,2,375943,263355
QS_cut16,sorted,32768,3,405254,271492
QS_cut16,sorted,32768,4,336668,277849
QS_cut16,sorted,65536,0,694022,566060
QS_cut16,sorted,65536,1,697116,550496
QS_cut16,sorted,65536,2,684261,570946
QS_cut16,sorted,65536,3,710476,564168
QS_cut16,sorted,65536,4,694191,563426
QS_cut16,sorted,131072,0,1766202,1377531
QS_cut16,sorted,131072,1,1435699,1188366
QS_cut16,sorted,131072,2,1457962,1256175
QS_cut16,sorted,131072,3,1456238,1161599
QS_cut16,sorted,131072,4,1491841,1321132
QS_cut16,sorted,262144,0,3290351,2765256
QS_cut16,sorted,262144,1,3455824,2721533
QS_cut16,sorted,262144,2,3309308,2739630
QS_cut16,sorted,262144,3,2979047,2580177
QS_cut16,sorted,262144,4,3086038,2634882
QS_cut16,sorted,524288,0,6996149,5472431
QS_cut16,sorted,524288,1,6704864,5845712
QS_cut16,sorted,524288,2,6773601,5686884
QS_cut16,sorted,524288,3,6657087,5520998
QS_cut16,sorted,524288,4,6287647,5462276
QS_cut16,sorted,1048576,0,14443256,13182461
QS_cut16,sorted,1048576,1,13944001,11785689
QS_cut16,sorted,1048576,2,13533557,11620598
QS_cut16,sorted,1048576,3,13755673,11780815
QS_cut16,sorted,1048576,4,13756287,11696189
QS_cut16,almost_sorted,1024,0,16343,4491
QS_cut16,almost_sorted,1024,1,15149,5221
QS_cut16,almost_sorted,1024,2,14479,3772
QS_cut16,almost_sorted,1024,3,15190,4222
QS_cut16,almost_sorted,1024,4,16543,6713
QS_cut16,almost_sorted,2048,0,36945,12300
QS_cut16,almost_sorted,2048,1,34090,9384
QS_cut16,almost_sorted,2048,2,35498,15542
QS_cut16,almost_sorted,2048,3,33394,9197
QS_cut16,almost_sorted,2048,4,34153,10077
QS_cut16,almost_sorted,4096,0,73845,28443
QS_cut16,almost_sorted,4096,1,69650,24397
QS_cut16,almost_sorted,4096,2,69471,25381
QS_cut16,almost_sorted,4096,3,66990,21958
QS_cut16,almost_sorted,4096,4,69463,26670
QS_cut16,almost_sorted,8192,0,156120,58767
QS_cut16,almost_sorted,8192,1,148366,52669
QS_cut16,almost_sorted,8192,2,149638,50975
QS_cut16,almost_sorted,8192,3,151753,60584
QS_cut16,almost_sorted,8192,4,155094,64275
QS_cut16,almost_sorted,16384,0,312859,119390
QS_cut16,almost_sorted,16384,1,318475,117791
QS_cut16,almost_sorted,16384,2,311009,136001
QS_cut16,almost_sorted,16384,3,303875,120472
QS_cut16,almost_sorted,16384,4,299098,129339
QS_cut16,almost_sorted,32768,0,634876,254858
QS_cut16,almost_sorted,32768,1,650011,258717
QS_cut16,almost_sorted,32768,2,633951,269375
QS_cut16,almost_sorted,32768,3,646968,290571
QS_cut16,almost_sorted,32768,4,729586,278701
QS_cut16,almost_sorted,65536,0,1391307,591263
QS_cut16,almost_sorted,65536,1,1429555,676907
QS_cut16,almost_sorted,65536,2,1400099,611944
QS_cut16,almost_sorted,65536,3,1375707,593952
QS_cut16,almost_sorted,65536,4,1338933,548447
QS_cut16,almost_sorted,131072,0,2972806,1233362
QS_cut16,almost_sorted,131072,1,2957149,1240367
QS_cut16,almost_sorted,131072,2,3254704,1185703
QS_cut16,almost_sorted,131072,3,3038452,1145328
QS_cut16,almost_sorted,131072,4,3067154,1227330
QS_cut16,almost_sorted,262144,0,5946273,2511804
QS_cut16,almost_sorted,262144,1,6552917,2653335
QS_cut16,almost_sorted,262144,2,5993245,2681001
QS_cut16,almost_sorted,262144,3,6261722,2624384
QS_cut16,almost_sorted,262144,4,6175273,2631457
QS_cut16,almost_sorted,524288,0,12724658,5676709
QS_cut16,almost_sorted,524288,1,12751790,5462535
QS_cut16,almost_sorted,524288,2,12741678,5546847
QS_cut16,almost_sorted,524288,3,12568116,5321322
QS_cut16,almost_sorted,524288,4,12525417,5338783
QS_cut16,almost_sorted,1048576,0,26560191,12182400
QS_cut16,almost_sorted,1048576,1,28792970,13090826
QS_cut16,almost_sorted,1048576,2,26204979,11460000
QS_cut16,almost_sorted,1048576,3,28595110,12034359
QS_cut16,almost_sorted,1048576,4,28419535,12897654
QS_cut16,uniform,1024,0,31325,4254
QS_cut16,uniform,1024,1,30470,4852
QS_cut16,uniform,1024,2,30760,4493
QS_cut16,uniform,1024,3,31425,5449
QS_cut16,uniform,1024,4,30081,4472
QS_cut16,uniform,2048,0,83867,10996
QS_cut16,uniform,2048,1,66914,9315
