matrix_type,m,n,rank,oversampling,power_iter,trial,rel_error,baseline_error,runtime_sec,baseline_runtime_sec,speedup
Dense Gaussian,1024,1024,64,5,1,3,0.9119743159065675,0.8890248433592566,0.11630419996799901,1.1821476999903098,10.164273519920833
Dense Gaussian,1024,1024,64,5,2,3,0.902428022397249,0.8890248433592566,0.10477360000368208,1.1350698999594897,10.833548717612068
Dense Gaussian,1024,1024,64,10,0,3,0.9350798068653914,0.8890248433592566,0.12309299997286871,1.175158600031864,9.5469165613876
Dense Gaussian,1024,1024,64,10,1,3,0.911272912047897,0.8890248433592566,0.12183670001104474,1.2151501000043936,9.973596624779216
Dense Gaussian,1024,1024,64,10,2,3,0.9015883328564012,0.8890248433592566,0.11784179997630417,1.159291399992071,9.837692569403924
Dense Gaussian,1024,1024,64,20,0,3,0.9327742237081864,0.8890248433592566,0.12571069999830797,1.1506917999940924,9.15349130988516
Dense Gaussian,1024,1024,64,20,1,3,0.9089949151114185,0.8890248433592566,0.13427590002538636,1.1988859999692068,8.928527008514141
Dense Gaussian,1024,1024,64,20,2,3,0.9000428873944054,0.8890248433592566,0.13568839995423332,1.1549823000095785,8.51201945338839
Dense Gaussian,1024,1024,64,0,0,4,0.9376301477766563,0.8890477957843695,0.09573790000285953,1.2294117999845184,12.841432702699745
Dense Gaussian,1024,1024,64,0,1,4,0.9133623754245807,0.8890477957843695,0.10422659997129813,1.2273936999845318,11.7762039663822
Dense Gaussian,1024,1024,64,0,2,4,0.9035450973298945,0.8890477957843695,0.1016380000510253,1.1914686000091024,11.722668681112868
Dense Gaussian,1024,1024,64,5,0,4,0.9362302124470177,0.8890477957843695,0.10153049998916686,1.1627081999904476,11.451812018206418
Dense Gaussian,1024,1024,64,5,1,4,0.912071597445125,0.8890477957843695,0.1260928999981843,1.2415245999582112,9.846110288335733
Dense Gaussian,1024,1024,64,5,2,4,0.902753410018869,0.8890477957843695,0.12061879999237135,1.259602600010112,10.442838098951214
Dense Gaussian,1024,1024,64,10,0,4,0.9350782718765454,0.8890477957843695,0.1458606999949552,1.3676030000206083,9.376089653127325
Dense Gaussian,1024,1024,64,10,1,4,0.911093430842647,0.8890477957843695,0.11794640001608059,1.2846423999872059,10.891747436225778
Dense Gaussian,1024,1024,64,10,2,4,0.9019131550832138,0.8890477957843695,0.12141179997706786,1.2271857000305317,10.107631220872447
Dense Gaussian,1024,1024,64,20,0,4,0.932777920184095,0.8890477957843695,0.13482909998856485,1.2328352999757044,9.143688566342606
Dense Gaussian,1024,1024,64,20,1,4,0.9087269054463103,0.8890477957843695,0.14002379996236414,1.1611079000285827,8.292218182485174
