matrix_type,algo,m,n,rank,oversampling,power_iter,trial,rel_error,baseline_error,runtime_sec,baseline_runtime_sec,speedup
Sparse Low-Rank (1%),rsvd,1024,1024,16,10,1,0,0.005720950056392607,0.005720950056392607,0.02262560004601255,0.8724175000097603,38.55886686919102
Sparse Low-Rank (1%),rsvd,1024,1024,32,10,1,0,4.001429121437578e-14,6.446325359038485e-15,0.04848529997980222,0.8307691999943927,17.13445519240823
Sparse Low-Rank (1%),rsvd,1024,1024,64,10,1,0,5.19778457509008e-15,6.4621493129749795e-15,0.09109689999604598,0.8450471999822184,9.276355178045547
Sparse Low-Rank (1%),rsvd,1024,1024,128,10,1,0,3.521020521108723e-15,6.493712023804503e-15,0.21527980000246316,0.8330266000120901,3.8695065677437404
Sparse Low-Rank (1%),rsvd,1024,1024,256,10,1,0,6.2059229366855614e-15,6.556704148307136e-15,0.4022689000121318,0.9197047000052407,2.28629332264439
Sparse Low-Rank (1%),rsvd,1024,1024,16,10,1,1,0.005720950056392608,0.005720950056392608,0.026632799999788404,0.912673500017263,34.268777598469335
Sparse Low-Rank (1%),rsvd,1024,1024,32,10,1,1,4.383572110515606e-14,2.2421568742303923e-15,0.054323600023053586,0.9748302000225522,17.94487478018501
Sparse Low-Rank (1%),rsvd,1024,1024,64,10,1,1,4.555869767670377e-15,2.306987609139156e-15,0.09792009997181594,1.0853684999747202,11.08422581561006
Sparse Low-Rank (1%),rsvd,1024,1024,128,10,1,1,9.234822677854431e-15,2.4292442992613627e-15,0.2625487999757752,1.1278422999894246,4.295743496422334
Sparse Low-Rank (1%),rsvd,1024,1024,256,10,1,1,6.656942242736548e-15,2.658804081644008e-15,0.4420015999930911,0.949907100002747,2.149103306453178
Sparse Low-Rank (1%),rsvd,1024,1024,16,10,1,2,0.005720950056392607,0.0057209500563926066,0.023807299963664263,0.9175719000049867,38.541619646302806
Sparse Low-Rank (1%),rsvd,1024,1024,32,10,1,2,4.0863910361353457e-14,9.297119389748415e-15,0.05111140001099557,0.8169724999461323,15.984154215505297
Sparse Low-Rank (1%),rsvd,1024,1024,64,10,1,2,1.702370044933218e-15,9.31357451208635e-15,0.1596391000202857,0.9062759999651462,5.677030250421004
Sparse Low-Rank (1%),rsvd,1024,1024,128,10,1,2,8.058714974396508e-15,9.344650216742711e-15,0.2291999000008218,0.8654502999852411,3.775962816659772
Sparse Low-Rank (1%),rsvd,1024,1024,256,10,1,2,4.475786465367778e-15,9.40676639364109e-15,0.4895397999789566,0.9886617999873124,2.0195738937463537
Sparse Low-Rank (1%),rsvd,1024,1024,16,10,1,3,0.005720950056392608,0.005720950056392607,0.024334600020665675,0.9590487999957986,39.41091282294944
Sparse Low-Rank (1%),rsvd,1024,1024,32,10,1,3,2.7392642534088782e-14,2.127002961333231e-15,0.06553639995399863,1.144449200015515,17.46280236355412
Sparse Low-Rank (1%),rsvd,1024,1024,64,10,1,3,7.252025204257447e-15,2.188502090839266e-15,0.11193389998516068,1.1065431999741122,9.8856843201283
Sparse Low-Rank (1%),rsvd,1024,1024,128,10,1,3,4.662997745218558e-15,2.3112812463104014e-15,0.3957847999990918,0.9856347999884747,2.490330098555418
Sparse Low-Rank (1%),rsvd,1024,1024,256,10,1,3,5.021979889288319e-15,2.5395375168968116e-15,0.6368743000202812,1.3589379000477493,2.1337615601767475
Sparse Low-Rank (1%),rsvd,1024,1024,16,10,1,4,0.005720950056392606,0.005720950056392606,0.034926399996038526,1.3537628999911249,38.76044768841545
Sparse Low-Rank (1%),rsvd,1024,1024,32,10,1,4,2.8553888721681254e-14,1.9446619902507335e-15,0.0687797000282444,1.146603100001812,16.67066154011953
Sparse Low-Rank (1%),rsvd,1024,1024,64,10,1,4,9.826382759897602e-15,2.0124442912815188e-15,0.1261285000364296,1.1089106000144966,8.791911421242705
Sparse Low-Rank (1%),rsvd,1024,1024,128,10,1,4,1.882518177777158e-15,2.1439679509394075e-15,0.2933020999771543,1.0843056000303477,3.696889998792391
Sparse Low-Rank (1%),rsvd,1024,1024,256,10,1,4,5.224132538678561e-15,2.3865257281012096e-15,0.505594199988991,1.0519137000082992,2.0805493813639555
NN-Like,rsvd,1024,1024,16,10,1,0,0.0017401004920570959,0.00173981180104992,0.02559169998858124,0.9700933999847621,37.90656347243864
NN-Like,rsvd,1024,1024,32,10,1,0,2.4375657777629307e-09,2.9860777654718984e-15,0.05794420000165701,1.0583727000048384,18.265377725028088
