algo,n,k,p_noise,graphs_per_rep,rep,timeout,total_time_ns,error_count
dfs_k_cycle,500,6,-1.0,20,0,0,17460,0
dfs_k_cycle,500,6,-1.0,20,1,0,19571,0
dfs_k_cycle,500,6,-1.0,20,2,0,16121,0
dfs_k_cycle,500,6,-1.0,20,3,0,26016,0
dfs_k_cycle,500,6,-1.0,20,4,0,15952,0
dfs_k_cycle,500,7,-1.0,20,0,1,-1,-1
dfs_k_cycle,500,7,-1.0,20,1,1,-1,-1
dfs_k_cycle,500,7,-1.0,20,2,1,-1,-1
dfs_k_cycle,500,7,-1.0,20,3,1,-1,-1
dfs_k_cycle,500,7,-1.0,20,4,1,-1,-1
